MCST No:,UEN:,Date of MC Constitution:,Development Name:,Status:,Development Location:,MC Address:,MC Contact No.:,Name of Managing Agent:,Managing Agent Contact No.:
4039,T14MC0007B,21/01/2014,CABANA,Active,145A SUNRISE TERRACE SINGAPORE 805308,"145A SUNRISE TERRACE
CABANA
 SINGAPORE 805308",82883816,NOUVELLE PROPERTY MANAGEMENT SOLUTIONS PTE LTD,82883816
4040,T14MC0037F,03/04/2014,THE ELITIST,Active,25 BUKIT BATOK CRESCENT SINGAPORE 658066,"25 BUKIT BATOK CRESCENT
#02-08 THE ELITIST
 SINGAPORE 658066",64659726,Ocean IFM Pte Ltd,64659726
4041,T14MC0006F,21/01/2014,SUITES @ PAYA LEBAR,Active,418 UPPER PAYA LEBAR ROAD SINGAPORE 534996,"420 NORTH BRIDGE ROAD
#06-01 NORTH BRIDGE CENTRE
 SINGAPORE 188727",6337-0087,Earnest Management Services Pte Ltd,63370087
4042,T14MC0015D,14/02/2014,21 RICHARDS,Active,21 RICHARDS AVENUE SINGAPORE 546430,"21 RICHARDS AVENUE
TWENTY ONE RICHARDS
 SINGAPORE 546430",9180 5496,Ocean IFM Pte Ltd,91805496
4043,T14MC0005K,16/01/2014,RV EDGE,Active,2 SHANGHAI ROAD SINGAPORE 248209,"2 SHANGHAI ROAD
#02-19 RV EDGE
 SINGAPORE 248209",91684836,Ocean IFM Pte Ltd,91684836
4044,T14MC0011J,04/02/2014,ESPADA,Active,48 ST. THOMAS WALK SINGAPORE 238126,"48 ST. THOMAS WALK
#01-01 ESPADA
 SINGAPORE 238126",87387404,Edmund Tie & Company Property Management Services Pte Ltd,6417 9205
4045,T14MC0046D,26/05/2014,RESIDENCES 88,Active,88 LORONG MARICAN SINGAPORE 417297,"88 LORONG MARICAN
RESIDENCE 88 
 SINGAPORE 417297",93662114,IMAX PROPERTY CONSULTANCY,93662114
4046,T14MC0034G,31/03/2014,CHANGI CITY,Active,1 CHANGI BUSINESS PARK CENTRAL 1 SINGAPORE 486036,"5 CHANGI BUSINESS PARK CENTRAL 1
#01-01 CHANGI CITY
 SINGAPORE 486038",65111071,Frasers Property Retail Management Pte Ltd,65111071
4047,T14MC0091E,26/08/2014,CENTRA LOFT,Active,3 LORONG 35 GEYLANG SINGAPORE 387935,"701 GEYLANG ROAD
#03-04 TEAMBUILD CENTRE
 SINGAPORE 389687",64664703,Barringham International Property Management Pte Ltd,64664703
4048,T14MC0008J,23/01/2014,SOLSTICE BUSINESS CENTER,Active,23 NEW INDUSTRIAL ROAD SINGAPORE 536209,"23 NEW INDUSTRIAL ROAD
#02-01 SOLSTICE BUSINESS CENTER
 SINGAPORE 536209",6444 1558,Edmund Tie & Company Property Management Services Pte Ltd,64179222
4050,T14MC0069B,11/07/2014,ONE@REDHILL CENTRE,Active,1 JALAN KILANG BARAT SINGAPORE 159345,"1 JALAN KILANG BARAT
#01-03 ONE@REDHILL CENTRE
 SINGAPORE 159345",67342478,Chambers Property Management Services Pte Ltd,64685100
4051,T14MC0064L,24/06/2014,Marina Bay Suites,Active,3 CENTRAL BOULEVARD SINGAPORE 018965,"3 CENTRAL BOULEVARD
#01-01 MARINA BAY SUITES
 SINGAPORE 018965",67020538,,
4052,T14MC0019K,04/03/2014,TREASURES@G19,Active,33 LORONG 19 GEYLANG SINGAPORE 388503,"33 LORONG 19 GEYLANG
TREASURES@G19
 SINGAPORE 388502",68421731,Landsfield Property Consultants Pte Ltd,68421731
4053,T14MC0058A,05/06/2014,MELOSA,Active,28 LORONG 28 GEYLANG SINGAPORE 398432,"28 LORONG 28 GEYLANG
#01-01 MELOSA
 SINGAPORE 398432",6468 5100,Chambers Property Management Services Pte Ltd,64685100
4054,T14MC0125L,25/11/2014,SUITES @ SIMS,Active,468 SIMS AVENUE SINGAPORE 387544,"468 SIMS AVENUE
SUITES @ SIMS
 SINGAPORE 387544",6327 1110,Melana International Pte Ltd,63271110
4055,T14MC0038B,04/04/2014,THE VUE,Active,355 UPPER PAYA LEBAR ROAD SINGAPORE 534958,"1014 GEYLANG EAST AVENUE 3
#07-216 THE VUE
 SINGAPORE 389729",68440801,,
4056,T14MC0041B,05/05/2014,VIENTO,Active,29 LORONG 30 GEYLANG SINGAPORE 398362,"29 LORONG 30 GEYLANG
VIENTO
 SINGAPORE 398362",6256 9333,Newman & Goh Property Consultants Pte Ltd,6256 9333
4057,T14MC0040F,22/04/2014,ESPARINA RESIDENCES,Active,111 COMPASSVALE BOW SINGAPORE 544998,"113 COMPASSVALE BOW
#01-05 ESPARINA RESIDENCES
 SINGAPORE 544814",6702 5200,RealtyLink Consultancy Pte Ltd,6337 5277
4058,T14MC0036K,03/04/2014,L’VIV,Active,,"23 NEWTON ROAD
#01-01  L’VIV
 SINGAPORE 307955",6465-9366,Edmund Tie & Company Property Management Services Pte Ltd,64179222
4059,T14MC0035C,31/03/2014,LAVERNES LOFT,Active,66 LORONG L TELOK KURAU SINGAPORE 425509,"2 JALAN RAJAH
#02-10 GOLDEN WALL FLATTED FACTORY
 SINGAPORE 329134",65474828,HAUS PROPERTY MANAGEMENT PTE LTD,65474828
4060,T15MC0111E,30/09/2015,OXLEY BIZHUB 2,Active,62 UBI ROAD 1 SINGAPORE 408734,"62 UBI ROAD 1
#01-42 OXLEY BIZHUB 2

 SINGAPORE 408734",65389629,LE Property Consultancy Pte Ltd,62981416
4061,T14MC0025J,11/03/2014,VALLEY POINT,Active,491 RIVER VALLEY ROAD SINGAPORE 248371,"491 RIVER VALLEY ROAD
#03-01 VALLEY POINT
 SINGAPORE 248371",67375523,Frasers Property Commercial Management Pte Ltd,67375523
4062,T15MC0039C,10/04/2015,THE WOODS,Active,107 TO 249 WESTWOOD AVENUE SINGAPORE 648205,"105 WESTWOOD AVENUE
THE WOODS
 SINGAPORE 648298",67943360,Newman & Goh Property Consultants Pte Ltd,86861311
4063,T14MC0051G,30/05/2014,URBAN SUITES,Active,3 HULLET ROAD SINGAPORE 229158,"3 HULLET ROAD
#02-03 URBAN SUITES
 SINGAPORE 229158",6444 5022,Knight Frank Property Asset Management Pte Ltd,90093495
4064,T14MC0109G,13/10/2014,CORALIS,Active,530 JOO CHIAT ROAD SINGAPORE 427710,"530 JOO CHIAT ROAD
#01-03 CORALIS
 SINGAPORE 427710",6636 1449,Knight Frank Property Asset Management Pte Ltd,68485678
4065,T14MC0117J,07/11/2014,AURALIS,Active,589 EAST COAST ROAD SINGAPORE 429081,"589 EAST COAST ROAD
#01-14 AURALIS MANAGEMENT OFFICE
 SINGAPORE 429087",65815604,Avalon Asset Management Pte Ltd,65815604
4066,T14MC0076H,23/07/2014,THE SCALA,Active,130 SERANGOON AVENUE 3 SINGAPORE 554479,"138 SERANGOON AVENUE 3
#01-29 THE SCALA
 SINGAPORE 554475",6282 2577,Raffles Strata Management Pte Ltd,68411524
4067,T14MC0104E,30/09/2014,NORTH SPRING BIZHUB,Active,5 YISHUN INDUSTRIAL STREET 1 SINGAPORE 768161,"7 YISHUN INDUSTRIAL STREET 1
#01-56 NORTH SPRING BIZHUB
 SINGAPORE 768162",6465 9198,Dickson Property Consultants Pte Ltd,63345565
4068,T14MC0052C,04/06/2014,TREE HOUSE,Active,64 CHESTNUT AVENUE SINGAPORE 679519,"64 CHESTNUT AVENUE
#01-19 TREE HOUSE
 SINGAPORE 679519",6734-9890,Savills Property Management Pte Ltd,67349890
4070,T14MC0045H,23/05/2014,CENTRO RESIDENCES,Active,59 #06-01  ANG MO KIO AVENUE 8 SINGAPORE 567752,"59 ANG MO KIO AVENUE 8
#06-01 CENTRO RESIDENCES
 SINGAPORE 567752",6339 2645,Raffles Strata Management Pte Ltd,63392645
4071,T14MC0136A,10/12/2014,SPOTTISWOODE RESIDENCES,Active,48 SPOTTISWOODE PARK ROAD SINGAPORE 088660,"48 SPOTTISWOODE PARK ROAD
#01-01 SPOTTISWOODE RESIDENCES
 SINGAPORE 088660",6702 4258,Rhodo Property & Estate Management Services Pte Ltd,90229281
4072,T14MC0054F,05/06/2014,ROYCE RESIDENCES,Active,8 LORONG 6 GEYLANG SINGAPORE 398106,"21 LORONG KILAT
SUN COURT
 SINGAPORE 598123",64632294,Philip Motha Property Management Pte Ltd,64632294
4073,T14MC0068F,10/07/2014,I-Suites @ Palm,Active,24 GLASGOW ROAD SINGAPORE 549340,"26 GLASGOW ROAD
#01-15 ISUITES@PALM
 SINGAPORE 549345",8933 4628,,
4074,T14MC0032D,26/03/2014,URBAN RESORT CONDOMINIUM,Active,32 CAIRNHILL ROAD SINGAPORE 229657,"32 CAIRNHILL ROAD
#01-01 URBAN RESORT CONDOMINIUM
 SINGAPORE 229657",64449477,Jones Lang LaSalle Property Consultants Pte Ltd,62203888
4075,T14MC0053K,04/06/2014,WESTLINK TWO,Active,71 TUAS VIEW PLACE SINGAPORE 637434,"71 TUAS VIEW PLACE
#01-11 WESTLINK TWO
 SINGAPORE 637434",63754015,Ocean IFM Pte Ltd,
4076,T15MC0062B,22/06/2015,IBIZ CENTRE,Active,32 OLD TOH TUCK ROAD SINGAPORE 597658,"10 JALAN BESAR
#09-11 SIM LIM TOWER
 SINGAPORE 208787",6298-2100,,
4077,T14MC0081L,11/08/2014,PARC BLEU,Active,262 JOO CHIAT PLACE SINGAPORE 427944,"264 JOO CHIAT PLACE
PARC BLEU
 SINGAPORE 427946",83331582,Melana International Pte Ltd,83331582
4078,T14MC0115F,05/11/2014,RANGOON 88,Active,88 RANGOON ROAD SINGAPORE 218374,"88 RANGOON ROAD
#02-21 RANGOON 88
 SINGAPORE 128383",64407948,Teams Strata Management Services Pte Ltd,64407948
4079,T14MC0070K,11/07/2014,POETS VILLAS,Active,162 TAGORE AVENUE SINGAPORE 787752,"234 TAGORE AVENUE
POETS VILLAS
 SINGAPORE 786199",98534633,SMART PROPERTY MANAGEMENT (S) PTE LTD,98534633
4080,T14MC0061A,18/06/2014,PIONEER POINT,Active,5 SOON LEE STREET SINGAPORE 627607,"5 SOON LEE STREET
#04-64 PIONEER POINT
 SINGAPORE 627607",6710 4342,,
4081,T14MC0050L,30/05/2014,8B @ ADMIRALTY,Active,8B ADMIRALTY STREET SINGAPORE 757440,"8B ADMIRALTY STREET
#01-19 8B @ ADMIRALTY
 SINGAPORE 757440",64812090,Edmund Tie & Company Property Management Services Pte Ltd,64179222
4082,T14MC0112G,24/10/2014,CITY STUDIOS,Active,30  RACE COURSE LANE SINGAPORE 218745,"30 RACE COURSE LANE
CITY STUDIOS
 SINGAPORE 218745",63387222,,
4083,T14MC0103J,25/09/2014,CENTRA HEIGHTS,Active,455 SIMS AVENUE SINGAPORE 387607,"4 KAKI BUKIT AVENUE 1
#05-02 
 SINGAPORE 417939",68861936,Ocean IFM Pte Ltd,81188732
4084,T14MC0124D,19/11/2014,LOFT @ NATHAN,Active,31 NATHAN ROAD SINGAPORE 248749,"31 NATHAN ROAD
#01-01 LOFT @ NATHAN
 SINGAPORE 248749",97259039,Exceltec Property Management Pte Ltd,97259039
4085,T15MC0011C,22/01/2015,LOFT @ HOLLAND,Active,151 HOLLAND ROAD SINGAPORE 278580,"151 HOLLAND ROAD
#01-06 LOFT @ HOLLAND
 SINGAPORE 278580",92320433,SMART PROPERTY MANAGEMENT (S) PTE LTD,62230169
4086,T16MC0052B,27/05/2016,NOUVEL 18,Active,16 ANDERSON ROAD SINGAPORE 259987,"16 ANDERSON ROAD
#B1-07 NOUVEL 18
 SINGAPORE 259987",64438198,Edmund Tie & Company Property Management Services Pte Ltd,64438198
4087,T14MC0057E,05/06/2014,LA FLEUR,Active,8  LORONG 26 GEYLANG SINGAPORE 398483,"46 EAST COAST ROAD
#05-06 EASTGATE
 SINGAPORE 428766",63452117,Total Estate Management Services Pte Ltd,63452117
4088,T14MC0086B,12/08/2014,D'WEAVE,Active,5 LORONG 39 GEYLANG SINGAPORE 387866,"5 LORONG 39 GEYLANG
#03-04 D'WEAVE
 SINGAPORE 387866",8118 8732,Ocean IFM Pte Ltd,8118 8732
4089,T14MC0056J,05/06/2014,SEVEN PALMS SENTOSA COVE,Active,151 COVE DRIVE SINGAPORE 098221,"155 COVE DRIVE
#01-11 SEVEN PALMS SENTOSA COVE
 SINGAPORE 098183",6659 1201,Seven Palms Resorts Management Pte Ltd,66591201
4090,T14MC0120J,12/11/2014,RE CHARGE @ 303,Active,303 RIVER VALLEY ROAD SINGAPORE 238344,"293 RIVER VALLEY ROAD

 SINGAPORE 238334",67351189,Re:Charge Residences Pte Ltd,67351189
4092,T14MC0085F,11/08/2014,VISTA RESIDENCES,Active,26 JALAN DATOH SINGAPORE 329425,"26 JALAN DATOH
#01-01 VISTA RESIDENCES
 SINGAPORE 329425",6734 7898,Newman & Goh Property Consultants Pte Ltd,6256 9333
4093,T14MC0078L,23/07/2014,CUBE 8,Active,376 THOMSON ROAD SINGAPORE 298130,"376 THOMSON ROAD
#B1-01 CUBE 8
 SINGAPORE 298130",6334 3486,Empire City Consultant Pte Ltd,65130808
4094,T14MC0066C,04/07/2014,MOUNT ELIZABETH NOVENA HOSPITAL & SPECIALIST CENTRE,Active,38 IRRAWADDY ROAD SINGAPORE 329563,"38 IRRAWADDY ROAD
#01-01 MOUNT ELIZABETH NOVENA HOSPITAL & SPECIALIST CENTRE
 SINGAPORE 329563",96822112,PARKWAY HOSPITALS SINGAPORE PTE LTD,96822112
4095,T14MC0118E,10/11/2014,THE BLISS,Active,128 RACE COURSE ROAD SINGAPORE 218586,"45 GENTING LANE
#02-01 GENTING WAREHOUSE COMPLEX
 SINGAPORE 349557",68442122,Propman Pte Ltd,91769679
4096,T15MC0053D,04/06/2015,PARC VERA,Active,2 HOUGANG STREET 32 SINGAPORE 534041,"4 HOUGANG STREET 32
#02-29 PARC VERA
 SINGAPORE 534040",62860230,Ocean IFM Pte Ltd,68861936
4097,T14MC0048G,29/05/2014,ILIV @GRANGE (TERMINATE),Terminated,74 GRANGE ROAD SINGAPORE 249578,"60 SEMBAWANG ROAD
#01-02/03 HONG HENG MANSIONS
 SINGAPORE 779088",98557080,Ocean IFM Pte Ltd,68861936
4098,T16MC0017F,12/02/2016,Kanopy@77,Active,77 LORONG K TELOK KURAU SINGAPORE 425699,"77 LORONG K TELOK KURAU
#04-01 
 SINGAPORE 425699",67458056,,
4099,T14MC0092A,28/08/2014,ESTE VILLA,Active,39 NIM ROAD SINGAPORE 807567,"39 NIM ROAD
ESTE VILLA
 SINGAPORE 807567",67026018,Absolut Properties Pte Ltd,67026018
4100,T15MC0038G,09/04/2015,PARK RESIDENCES KOVAN,Active,831 UPPER SERANGOON ROAD SINGAPORE 534679,"831 UPPER SERANGOON ROAD
PARK RESIDENCES KOVAN
 SINGAPORE 534679",66653880,SRE Management Services Pte Ltd,66653880
4102,T14MC0087J,12/08/2014,VERMONT ON CAIRNHILL,Active,12A CAIRNHILL RISE SINGAPORE 229747,"12B CAIRNHILL RISE
#B1-08 VERMONT ON CAIRNHILL
 SINGAPORE 229747",6702 4368,Smart Property Management (Singapore) Pte Ltd,62230169
4103,T14MC0133B,04/12/2014,AUSTVILLE RESIDENCES,Active,11  SENGKANG EAST AVENUE SINGAPORE 544804,"17 SENGKANG EAST AVENUE
#B1-01 AUSTVILLE RESIDENCES
 SINGAPORE 544807",6686 6551,Smart Property Managment (S) Pte Ltd,62230169
4104,T14MC0094D,02/09/2014,THE SHORE RESIDENCES,Active,81 AMBER ROAD SINGAPORE 439893,"87 AMBER ROAD
#01-25 THE SHORE RESIDENCES
 SINGAPORE 439897",6604 8634,Asia Properties & Assets Consultancy Pte Ltd,6604 8634
4105,T14MC0074E,21/07/2014,THE FORESTA @ MOUNT FABER,Active,100 WISHART ROAD SINGAPORE 098748,"100 WISHART ROAD
#01-30 THE FORESTA@MOUNT FABER
 SINGAPORE 098748",62711438,Total Estate Management Services Pte Ltd,63452117
4106,T14MC0088E,19/08/2014,CARDIFF RESIDENCE,Active,101 CARDIFF GROVE SINGAPORE 558961,"3016 BEDOK NORTH AVENUE 4
#04-02 EASTECH
 SINGAPORE 489947",64497141,Ascent Property Management Services Pte Ltd,64497141
4107,T14MC0095L,03/09/2014,THE LAURELS,Active,38 CAIRNHILL ROAD SINGAPORE 229658,"38 CAIRNHILL ROAD
#01-01 THE LAURELS
 SINGAPORE 229658",6636 1921,Knight Frank Property Asset Management Pte Ltd,6848 5678
4108,T15MC0096A,24/08/2015,CAPE ROYALE,Active,11  COVE WAY SINGAPORE 098202,"13 COVE WAY
#01-03 CAPE ROYALE
 SINGAPORE 098203",6334 3808,Edmund Tie & Company Property Management Services Pte Ltd,64179222
4109,T14MC0075A,23/07/2014,HUNDRED TREES,Active,81 WEST COAST DRIVE SINGAPORE 127997,"97 WEST COAST DRIVE
#01-25 HUNDRED TREES
 SINGAPORE 128019",63394227,Abacus Property Management Pte Ltd,65111811
4110,T14MC0113C,24/10/2014,ESTRIVILLAS,Active,55 JALAN LIM TAI SEE SINGAPORE 268386,"55 JALAN LIM TAI SEE
ESTRIVILLAS
 SINGAPORE 268386",64411184,A4 International Pte Ltd,64411184
4111,T14MC0123H,18/11/2014,OXLEY BIZHUB,Active,61 UBI ROAD 1 SINGAPORE 408727,"61 UBI ROAD 1
#B1-01 OXLEY BIZHUB
 SINGAPORE 408727",6702 4531,Avalon Asset Management Pte Ltd,88128877
4112,T14MC0098K,08/09/2014,VICTORY VILLE,Active,23 TOH DRIVE SINGAPORE 507875,"420 NORTH BRIDGE ROAD
#06-01 NORTH BRIDGE CENTRE
 SINGAPORE 188727",6337 0087,Earnest Management Services Pte Ltd,63370087
4113,T14MC0080D,08/05/2014,THE VANDERLINT,Active,87 CEYLON ROAD SINGAPORE 429665,"87 CEYLON ROAD
THE VANDERLINT
 SINGAPORE 429665",64111667,Chambers Property Management Services Pte Ltd,64685100
4114,T14MC0105A,03/10/2014,IDYLLIC SUITES,Active,21 LORONG 30 GEYLANG SINGAPORE 398353,"21  LORONG 30 GEYLANG
IDYLLIC SUITES
 SINGAPORE 398353",64411184,A4 International Pte Ltd,64411184
4115,T15MC0085L,31/07/2015,SELETAR VIEW,Active,26 SELETAR HILLS DRIVE SINGAPORE 807041,"4 KAKI BUKIT AVENUE 1
#05-02 
 SINGAPORE 417939",83106256,Ocean IFM Pte Ltd,83106256
4116,T14MC0140H,31/12/2014,THE COMMERZE @ IRVING,Active,1 IRVING PLACE SINGAPORE 369546,"1 IRVING PLACE
#01-34 THE COMMERZE @ IRVING
 SINGAPORE 369546",67024243,RHODO INTERNATIONAL STRATA MANAGEMENT SERVICES PTE LTD,84085542
4117,T14MC0060E,16/06/2014,SILVER FIR,Active,9 BUTTERWORTH LANE SINGAPORE 439424,"125A LORONG 2 TOA PAYOH
#02-134 
 SINGAPORE 311125",62569333,Newman & Goh Property Consultants Pte Ltd,62569333
4118,T14MC0067K,09/07/2014,WIS@CHANGI,Active,116 CHANGI ROAD SINGAPORE 419718,"116 CHANGI ROAD
#01-24 WIS@CHANGI
 SINGAPORE 419718",62211313,,
4120,T14MC0093H,29/08/2014,THE INTERLACE,Active,180 DEPOT ROAD SINGAPORE 109684,"224 DEPOT ROAD
#01-01 THE INTERLACE
 SINGAPORE 109706",67342481,Savills Property Management Pte Ltd,63463238
4121,T14MC0089A,21/08/2014,QUESTA@DUNMAN,Active,543 DUNMAN ROAD SINGAPORE 439219,"543 DUNMAN ROAD
#05-07 QUESTA@DUNMAN
 SINGAPORE 439219",6342-1690,Total Estate Management Services Pte Ltd,63452117
4122,T14MC0096G,03/09/2014,PARC ROSEWOOD,Active,93 ROSEWOOD DRIVE SINGAPORE 737794,"81 ROSEWOOD DRIVE
#01-58 PARC ROSEWOOD
 SINGAPORE 737788",63620310,Ocean IFM Pte Ltd,68861936
4123,T15MC0050E,27/05/2015,EIGHT COURTYARDS,Active,12A #01-25 CANBERRA DRIVE SINGAPORE 768095,"12A CANBERRA DRIVE
#01-25 EIGHT COURTYARDS
 SINGAPORE 768095",6754 6123,,
4124,T14MC0102B,23/09/2014,16 @ AMBER,Active,16 AMBER ROAD SINGAPORE 439866,"45 KALLANG PUDDING ROAD
#07-01 
 SINGAPORE 349317",6583 7867,Vinco Real Estate Management Pte Ltd,6583 7867
4125,T14MC0101F,19/09/2014,ELEVEN@HOLLAND,Active,11 HOLLAND LINK SINGAPORE 275764,"11 HOLLAND LINK
#B1-01 11 HOLLAND LINK B1-01, SINGAPORE 275764
 SINGAPORE 275764",98785288,Chambers Property Management Services Pte Ltd,98785288
4126,T15MC0004H,07/01/2015,THE CANOPY,Active,71 YISHUN AVENUE 11 SINGAPORE 768858,"71 YISHUN AVENUE 11
THE CANOPY
 SINGAPORE 768858",63699820,Exceltec Property Management Pte Ltd,65665055
4127,T15MC0019D,10/02/2015,GOODWOOD RESIDENCE,Active,261 BUKIT TIMAH ROAD SINGAPORE 259703,"265 BUKIT TIMAH ROAD
GOODWOOD RESIDENCE
 SINGAPORE 259705",6735 1078,,
4128,T14MC0083C,07/08/2014,BARTLEY BIZ CENTRE,Active,11 KAKI BUKIT ROAD 4 SINGAPORE 417806,"13 KAKI BUKIT ROAD 4
#03-31 BARTLEY BIZ CENTRE 
 SINGAPORE 417807",67024158,Avalon Asset Management Pte Ltd,67024158
4129,T14MC0099F,09/09/2014,OEI TIONG HAM PARK RESIDENCES,Active,29 OEI TIONG HAM PARK SINGAPORE 267034,"140 ROBINSON ROAD
#08-01 TAHIR BUILDING
 SINGAPORE 068907",68449983,Prim Investments Pte Ltd,68449983
4130,T16MC0020F,22/02/2016,CITYSCAPE AT FARRER PARK,Active,101 MERGUI ROAD SINGAPORE 219067,"101 MERGUI ROAD
#01-01 CITYSCAPE AT FARRER PARK 
 SINGAPORE 219067",+65 63416009,Landsfield Property Consultants Pte Ltd,63416009
4131,T14MC0108L,13/10/2014,BELYSA,Active,55 PASIR RIS DRIVE 1 SINGAPORE 519530,"55 PASIR RIS DRIVE 1
#B1-01 BELYSA
 SINGAPORE 519530",65854589,Asia Properties & Assets Consultancy Pte Ltd,65854589
4132,T14MC0077D,23/07/2014,SKYSUITES 17,Active,17 JALAN RAJAH SINGAPORE 329137,"17 JALAN RAJAH
#06-01 SKYSUITES 17
 SINGAPORE 329137",97165795,Knight Frank Property Asset Management Pte Ltd,97165795
4133,T15MC0116G,14/10/2015,H Residences,Active,50A LORONG H TELOK KURAU SINGAPORE 426049,"50A LORONG H TELOK KURAU
H RESIDENCES
 SINGAPORE 426049",67833853,Summit Property Management Pte Ltd,67833853
4134,T15MC0094J,18/08/2015,THE INTERWEAVE,Active,21 KIM KEAT ROAD SINGAPORE 328805,"21 KIM KEAT ROAD
#01-01 THE INTERWEAVE
 SINGAPORE 328805",65333375,RHODO INTERNATIONAL STRATA MANAGEMENT SERVICES PTE LTD,6533 3375
4135,T15MC0007G,15/01/2015,MY MANHATTAN,Active,25 SIMEI STREET 3 SINGAPORE 529899,"33 SIMEI STREET 3
#01-27 MY MANHATTAN
 SINGAPORE 529903",6702 6301,Asia Properties & Assets Consultancy Pte Ltd,68023129
4136,T14MC0100K,12/09/2014,AZ @ PAYA LEBAR,Active,140 PAYA LEBAR ROAD SINGAPORE 409015,"140 PAYA LEBAR ROAD
#01-13 AZ @ PAYA LEBAR
 SINGAPORE 409015",6842 2450,Exceltec Property Management Pte Ltd,62523773
4138,T14MC0126G,26/11/2014,EAST VILLAGE,Active,430 UPPER CHANGI ROAD SINGAPORE 487048,"430 UPPER CHANGI ROAD
EAST VILLAGE (MANAGEMENT OFFICE)
 SINGAPORE 487048",67026125,,
4139,T14MC0135E,09/12/2014,SUNNY LODGE,Active,6 LORONG SALLEH SINGAPORE 416756,"420 NORTH BRIDGE ROAD
#06-01 NORTH BRIDGE CENTRE
 SINGAPORE 188727",63370087,Earnest Management Services Pte Ltd,63370087
4140,T15MC0008C,19/01/2015,SUITES @ GUILLEMARD,Active,70 LIM AH WOO ROAD SINGAPORE 438133,"70 LIM AH WOO ROAD
SUITES@GUILLEMARD
 SINGAPORE 438133",6886 1936,Ocean IFM Pte Ltd,6886 1936
4141,T14MC0111L,24/10/2014,THE WATER EDGE CONDOMONIUM,Active,8 LORONG 38 GEYLANG SINGAPORE 398106,"8 LORONG 38 GEYLANG
THE WATER EDGE CONDOMONIUM
 SINGAPORE 398106",67412285,R U Asset Management Pte Ltd,67412285
4142,T14MC0122A,14/11/2014,SUITES @ BUKIT TIMAH,Active,68 JALAN JURONG KECHIL SINGAPORE 596180,"68 JALAN JURONG KECHIL
SUITES @ BUKIT TIMAH
 SINGAPORE 596180",62218288,SRE Global Pte Ltd,62218288
4143,T14MC0119A,11/11/2014,VACANZA@EAST,Active,36 LENGKONG TUJOH SINGAPORE 417391,"44 LENGKONG TUJOH
#01-41 VACANZA@EAST
 SINGAPORE 417395",67024619,Savills Property Management Pte Ltd,67024619
4144,T14MC0131K,02/12/2014,ST. PATRICK'S RESIDENCES,Active,50 ST. PATRICKS ROAD SINGAPORE 424216,"54 ST. PATRICKS ROAD
#01-21 ST. PATRICK'S RESIDENCES
 SINGAPORE 159471",82883816,NOUVELLE PROPERTY MANAGEMENT SOLUTIONS PTE LTD,82883816
4145,T14MC0110D,20/10/2014,SYNERGY@KB,Active,21 KAKI BUKIT ROAD 4 SINGAPORE 417810,"25 KAKI BUKIT ROAD 4
#03-95 SYNERGY@KB
 SINGAPORE 417800",91909442,Newman & Goh Property Consultants Pte Ltd,84829943
4146,T17MC0062A,27/07/2017,SIMS EDGE,Active,1 GEYLANG EAST AVENUE 2 SINGAPORE 389760,"46 EAST COAST ROAD
#05-06 EAST GATE
 SINGAPORE 428766",63452117,,
4152,T16MC0066B,24/06/2016,LEVENUE,Active,55 LENGKONG EMPAT SINGAPORE 417642,"55 LENGKONG EMPAT
LEVENUE
 SINGAPORE 417657",64411184,A4 International Pte Ltd,64411184
4153,T15MC0108E,22/09/2015,GUILLEMARD EDGE,Active,38 LORONG 30 GEYLANG SINGAPORE 398371,"38 LORONG 30 GEYLANG
#01-01 GUILLEMARD EDGE
 SINGAPORE 398371",84982520,Ocean IFM Pte Ltd,84982520
4154,T14MC0121E,13/11/2014,38 ISUITES,Active,38 IPOH LANE SINGAPORE 438646,"38 IPOH LANE
#06-00 38 ISUITES (MANAGEMENT OFFICE)
 SINGAPORE 438646",62555652,Simply Sakal Pte Ltd (Formerly known as Aces Assets Management Pte Ltd),62555652
4155,T15MC0042C,24/04/2015,PRIME RESIDENCE,Active,41 LORONG 22 GEYLANG SINGAPORE 398967,"41 LORONG 22 GEYLANG
PRIME RESIDENCE
 SINGAPORE 398697",63345565,Dickson Property Consultants Pte Ltd,63345565
4156,T14MC0137H,24/10/2014,THE LAKEFRONT RESIDENCES,Active,44 LAKESIDE DRIVE SINGAPORE 648323,"44 LAKESIDE DRIVE
#B1-01 THE LAKEFRONT RESIDENCES
 SINGAPORE 648323",6710-5953,Smart Property Management (Singapore) Pte Ltd,62230169
4157,T15MC0005D,13/01/2015,EIS RESIDENCES,Active,4 HAIG AVENUE SINGAPORE 438859,"190 CLEMENCEAU AVENUE
#05-26 SINGAPORE SHOPPING CENTRE
 SINGAPORE 239924",63393779,First Boston Property Consultants Pte Ltd,63393779
4158,T14MC0114K,24/10/2014,NOVELTY BIZCENTRE,Active,18 HOWARD ROAD SINGAPORE 369585,"18 HOWARD ROAD
#01-07 NOVELTY BIZCENTRE
 SINGAPORE 369585",67026191,Chambers Property Management Services Pte Ltd,64111696
4159,T14MC0106H,08/10/2014,MODA,Active,42 EAST COAST ROAD SINGAPORE 428762,"42 EAST COAST ROAD
#07-01 MODA
 SINGAPORE 428762",62502214,Phamous Facilities Management Pte Ltd,62502214
